Sample,Population,Longitude,Latitude
ALK_8925,ALK,-120.0114,43.0107
ALK_8927,ALK,-120.0114,43.0107
ALK_8928,ALK,-120.0114,43.0107
ALK_8929,ALK,-120.0114,43.0107
ALK_8937,ALK,-120.0114,43.0107
ALK_8938,ALK,-120.0114,43.0107
ALK_8940,ALK,-120.0114,43.0107
ALK_8941,ALK,-120.0114,43.0107
BEA_9201,BEA,-116.7583,36.9086
BEA_9202,BEA,-116.7583,36.9086
BEA_9203,BEA,-116.7583,36.9086
BEA_9204,BEA,-116.7583,36.9086
BEA_9205,BEA,-116.7583,36.9086
BEA_9206,BEA,-116.7583,36.9086
BEA_9207,BEA,-116.7583,36.9086
BEA_9208,BEA,-116.7583,36.9086
BMT_8986,BMT,-117.0621,40.4751
BMT_8987,BMT,-117.0621,40.4751
BMT_8988,BMT,-117.0621,40.4751
BMT_8989,BMT,-117.0621,40.4751
CLM_10440,CLM,-115.63,35.58
CLM_10441,CLM,-115.63,35.58
CRK_8589,CRK,-112.76,39.112
CRK_8590,CRK,-112.76,39.112
CRK_8591,CRK,-112.76,39.112
CRK_8592,CRK,-112.76,39.112
CRK_8593,CRK,-112.76,39.112
CUR_9470,CUR,-115.4861,38.698
CUR_9471,CUR,-115.4861,38.698
CUR_9474,CUR,-115.4861,38.698
CUR_9475,CUR,-115.4861,38.698
CUR_9476,CUR,-115.4861,38.698
CUR_9479,CUR,-115.4861,38.698
DEL_8594,DEL,-112.764,39.058
EGL_8907,EGL,-120.0007,41.3649
EGL_8911,EGL,-120.0007,41.3649
EGL_8914,EGL,-120.0007,41.3649
EGL_8915,EGL,-120.0007,41.3649
EGL_8917,EGL,-120.0007,41.3649
EGL_8918,EGL,-120.0007,41.3649
EGL_8920,EGL,-120.0007,41.3649
EGL_8921,EGL,-120.0007,41.3649
HAI_8685,HAI,-117.97,36.15
HAI_8686,HAI,-117.97,36.15
HAI_8687,HAI,-117.97,36.15
HAI_8688,HAI,-117.97,36.15
HAI_8689,HAI,-117.97,36.15
HRV_9361,HRV,-111.9623,36.494
HRV_9363,HRV,-111.9623,36.494
HRV_9364,HRV,-111.9623,36.494
HRV_9365,HRV,-111.9623,36.494
HRV_9366,HRV,-111.9623,36.494
HRV_9368,HRV,-111.9623,36.494
HRV_9370,HRV,-111.9623,36.494
HRV_9373,HRV,-111.9623,36.494
HRV_9375,HRV,-111.9623,36.494
HRV_9377,HRV,-111.9623,36.494
KCA_10446,KCA,-115.4788,36.2643
KCA_10448,KCA,-115.4788,36.2643
